Geo Point;Geo Shape;OBJECTID;ID_REF_ZDL;ID_REF_ZDE;GARES_ID;NOM_GARE;NOMLONG;NOM_IV;NUM_MOD;MODE_;FER;TRAIN;RER;METRO;TRAMWAY;NAVETTE;VAL;TERFER;TERTRAIN;TERRER;TERMETRO;TERTRAM;TERNAVETTE;TERVAL;IDREFLIGA;IDREFLIGC;LIGNE;COD_LIGF;LIGNE_CODE;INDICE_LIG;RESEAU;RES_COM;COD_RESF;RES_STIF;EXPLOITANT;NUM_PSR;IDF;PRINCIPAL;X;Y
48.850434549, 2.29361243991;"{""type"": ""Point"", ""coordinates"": [2.293612439913189, 48.85043454902951, 0.0]}";59.0;42871.0;22171.0;245.0;Dupleix;DUPLEIX;Dupleix;2144.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01539;;6;12.0;6-106073;6;METRO;M6;3.0;110.0;RATP;0.0;1.0;0.0;648164.259;6861386.582
48.851812133, 2.40102227052;"{""type"": ""Point"", ""coordinates"": [2.401022270517142, 48.851812133001964, 0.0]}";69.0;42410.0;25084.0;121.0;Buzenval;BUZENVAL;Buzenval;2231.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01542;;9;16.0;9-109083;9;METRO;M9;3.0;110.0;RATP;0.0;1.0;0.0;656047.145;6861474.608
48.8758906819, 2.34412603046;"{""type"": ""Point"", ""coordinates"": [2.344126030464426, 48.87589068189371, 0.0]}";70.0;42414.0;22390.0;122.0;Cadet;CADET;Cadet;2176.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01540;;7;13.0;7-107049;7;METRO;M7;3.0;110.0;RATP;0.0;1.0;0.0;651894.442;6864185.122
48.8679053449, 2.31354554995;"{""type"": ""Point"", ""coordinates"": [2.313545549946741, 48.86790534489709, 0.0]}";76.0;42531.0;22090.0;144.0;Champs-Élysées-Clémenceau;CHAMPS-ELYSEES-CLEMENCEAU;Champs-Elysées-Clémenceau;2009.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01534;;1;1.0;1-101063;1;METRO;M1;3.0;110.0;RATP;0.0;1.0;0.0;649643.831;6863316.278
48.8676021452, 2.31389412912;"{""type"": ""Point"", ""coordinates"": [2.31389412911847, 48.86760214521369, 0.0]}";77.0;42531.0;22093.0;145.0;Champs-Élysées-Clémenceau;CHAMPS-ELYSEES-CLEMENCEAU;Champs-Elysées-Clémenceau;2339.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01546;;13;5.0;13-101063;13;METRO;M13;3.0;110.0;RATP;0.0;1.0;0.0;649669.108;6863282.343
48.8751498197, 2.29590490608;"{""type"": ""Point"", ""coordinates"": [2.295904906076515, 48.875149819735626, 0.0]}";80.0;58759.0;22086.0;152.0;Charles De Gaulle-Étoile;CHARLES DE GAULLE ETOILE;Charles de Gaulle Etoile;2006.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01534;C01371;1;1.0;1-337;1;METRO;M1;3.0;110.0;RATP;0.0;1.0;0.0;648356.985;6864133.201
48.8465346367, 2.28599922342;"{""type"": ""Point"", ""coordinates"": [2.285999223421597, 48.84653463673933, 0.0]}";83.0;42557.0;21986.0;155.0;Charles Michels;CHARLES MICHELS;Charles Michels;2272.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01543;;10;2.0;10-110043;10;METRO;M10;3.0;110.0;RATP;0.0;1.0;0.0;647601.685;6860957.977
48.8444563946, 2.44043997806;"{""type"": ""Point"", ""coordinates"": [2.440439978057246, 48.844456394569114, 0.0]}";85.0;42582.0;22104.0;160.0;Château de Vincennes;CHATEAU DE VINCENNES;Château de Vincennes;2024.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;M1;0;0;0;A01534;;1;1.0;1-101033;1;METRO;M1;3.0;110.0;RATP;0.0;1.0;0.0;658933.762;6860635.494
48.8549363766, 2.34732131573;"{""type"": ""Point"", ""coordinates"": [2.347321315727239, 48.854936376552644, 0.0]}";99.0;42640.0;22150.0;188.0;Cité;CITE;Cité;2088.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01537;;4;10.0;4-104055;4;METRO;M4;3.0;110.0;RATP;0.0;1.0;0.0;652109.539;6861853.227
48.8776101874, 2.37081139531;"{""type"": ""Point"", ""coordinates"": [2.370811395312745, 48.87761018741785, 0.0]}";101.0;42732.0;22120.0;195.0;Colonel Fabien;COLONEL FABIEN;Colonel Fabien;2033.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01535;;2;7.0;2-102049;2;METRO;M2;3.0;110.0;RATP;0.0;1.0;0.0;653853.181;6864360.393
48.8662858046, 2.32294341224;"{""type"": ""Point"", ""coordinates"": [2.322943412243542, 48.866285804583875, 0.0]}";103.0;45676.0;22085.0;199.0;Concorde;CONCORDE;Concorde;2010.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01534;;1;1.0;1-101061;1;METRO;M1;3.0;110.0;RATP;0.0;1.0;0.0;650331.668;6863130.246
48.866818369, 2.32208284869;"{""type"": ""Point"", ""coordinates"": [2.322082848687872, 48.86681836895082, 0.0]}";105.0;45676.0;22096.0;201.0;Concorde;CONCORDE;Concorde;2216.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01541;;8;15.0;8-101061;8;METRO;M8;3.0;110.0;RATP;0.0;1.0;0.0;650269.047;6863190.005
48.8270854489, 2.27941168205;"{""type"": ""Point"", ""coordinates"": [2.279411682050421, 48.82708544889643, 0.0]}";108.0;42759.0;22061.0;210.0;Corentin Celton;CORENTIN-CELTON;Corentin Celton;2325.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01545;;12;4.0;12-112033;12;METRO;M12;3.0;110.0;RATP;899927.0;1.0;0.0;647098.524;6858799.845
48.8753549577, 2.32481828506;"{""type"": ""Point"", ""coordinates"": [2.324818285061554, 48.87535495768347, 0.0]}";109.0;58566.0;22218.0;770.0;Saint-Lazare;SAINT-LAZARE;Saint-Lazare;2341.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01546;;13;5.0;13-329;13;METRO;M13;3.0;110.0;RATP;0.0;1.0;1.0;650477.826;6864137.489
48.8649166851, 2.39898444025;"{""type"": ""Point"", ""coordinates"": [2.398984440248072, 48.86491668505183, 0.0]}";121.0;43055.0;21950.0;301.0;Gambetta;GAMBETTA;Gambetta;2072.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01536;;3;8.0;3-103037;3;METRO;M3;3.0;110.0;RATP;0.0;1.0;0.0;655908.704;6862932.865
48.8574779825, 2.35157756299;"{""type"": ""Point"", ""coordinates"": [2.351577562994996, 48.85747798252934, 0.0]}";127.0;415851.0;22091.0;352.0;Hôtel de Ville;HOTEL DE VILLE;Hôtel de Ville;2015.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01534;;1;1.0;1-101051;1;METRO;M1;3.0;110.0;RATP;0.0;1.0;0.0;652424.155;6862133.258
48.8574518326, 2.35100846139;"{""type"": ""Point"", ""coordinates"": [2.351008461394825, 48.857451832642425, 0.0]}";128.0;415851.0;21990.0;353.0;Hôtel de Ville;HOTEL DE VILLE;Hôtel de Ville;2287.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01544;;11;3.0;11-101051;11;METRO;M11;3.0;110.0;RATP;0.0;1.0;0.0;652382.377;6862130.694
48.8638074378, 2.34888065259;"{""type"": ""Point"", ""coordinates"": [2.348880652588476, 48.863807437781254, 0.0]}";130.0;44970.0;22147.0;273.0;Étienne Marcel;ETIENNE-MARCEL;Étienne Marcel;2085.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01537;;4;10.0;4-104049;4;METRO;M4;3.0;110.0;RATP;0.0;1.0;0.0;652232.086;6862838.669
48.8759910648, 2.35788077193;"{""type"": ""Point"", ""coordinates"": [2.357880771925327, 48.8759910648072, 0.0]}";138.0;43138.0;22148.0;313.0;Gare de l'Est;GARE DE L'EST;Gare de l'Est;2081.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01537;;4;10.0;4-327;4;METRO;M4;3.0;110.0;RATP;0.0;1.0;1.0;652903.362;6864187.992
48.8460276494, 2.37496291887;"{""type"": ""Point"", ""coordinates"": [2.37496291887346, 48.84602764938302, 0.0]}";141.0;43153.0;22083.0;962.0;Gare de Lyon;GARE DE LYON;Gare de Lyon;2018.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01534;;1;1.0;1-338;1;METRO;M1;3.0;110.0;RATP;686006.0;1.0;1.0;654129.864;6860846.248
48.8795512844, 2.35699516401;"{""type"": ""Point"", ""coordinates"": [2.356995164008545, 48.87955128443897, 0.0]}";143.0;43233.0;22149.0;318.0;Gare du Nord;GARE DU NORD;Gare du Nord;2080.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01537;;4;10.0;4-384;4;METRO;M4;3.0;110.0;RATP;0.0;1.0;1.0;652841.632;6864584.394
